customerDomain,Product,skuName,Creation date (PST),status,planName,Renewal date (PST),licensedNumberOfSeats,maximumNumberOfSeats,Customer uid,customerId,subscriptionId
modernmep.com,Google Workspace,Google Workspace Business Starter,"December 14, 2021",Active,Flexible Plan,-,7,300,ShsDfkLx19HurF,C01u0ti93,3393722595
mojtamastore.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,SKIVQRytZnXl2r,C01panspk,3667340402
mokshastays.com,Google Workspace,Google Workspace Business Starter,"November 23, 2021",Active,Flexible Plan,-,1,300,SpjEwheHqdUZ2e,C01nn5iol,3331618607
monashholdings.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,1,1,Sp4LBAtkiGI0PT,C01z1l8kn,3667569316
montaigne.ae,Google Workspace,G Suite Basic,"December 9, 2020",Suspended,Flexible Plan,-,2,3,SYUUI4K5sqpXXV,C0469v7xh,2271686157
montekids.in,Google Workspace,Google Workspace Business Starter,"March 25, 2021",Active,Flexible Plan,-,1,1,StyJ0RqoNq4c41,C04dsgr0f,2639272523
moscadadigital.com,Google Workspace,G Suite Basic,"April 20, 2020",Suspended,Flexible Plan,-,1,50000,S7WLpLqA5oW7Ge,C03y2os0y,1509975508
mountainbellbh.com,-,-,-,-,-,-,0,0,SE4eqPCkRCXj1T,-,-
muckty.com,Google Workspace,Google Workspace Business Starter,"December 5, 2021",Active,Flexible Plan,-,1,1,SDbeXItn2PYvGr,C03moy95x,3364863226
multilines.com.sa,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Annual Plan (Yearly Payment),"March 21, 2023",15,15,SwM9ekramu94Eh,C04d3uedh,3667361483
multiprollc.com,Google Workspace,Google Workspace Business Starter,"November 15, 2021",Active,Flexible Plan,-,9,300,SgOIOcTGpTFb5k,C03010iqa,3304452354
multisys.me,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,8,8,SEmpgy5my2IV6a,C04c8pb02,3667672767
munichwoodworks.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,4,4,SKCdOVfZq82LnW,C023op4k0,3667852871
myeglu.com,Google Workspace,Google Workspace Business Starter,"May 13, 2021",Active,Flexible Plan,-,42,300,ScDGEHjxlyj0zc,C028lmyqu,2786236215
nabeeln.com,-,-,-,-,-,-,0,0,Sj6udG65wu1B1M,C02u8nlhq,-
nalukettu.co.in,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Annual Plan (Yearly Payment),"March 21, 2023",2,2,S6cLrSmCZIOArG,C038y01k2,3665098551
nanmaconstruct.com,Google Workspace,Google Workspace Business Starter,"July 28, 2021",Active,Flexible Plan,-,30,30,SdsfIIcLOwpFPj,C02ilqim1,2997428819
navyabakes.com,Google Workspace,Google Workspace Business Starter,"April 30, 2021",Active,Flexible Plan,-,21,21,Si3oZgIsaeLTdY,C04l1p72o,2744755863
neerpharma.com,Google Workspace,Google Workspace Business Starter,"May 6, 2021",Active,Flexible Plan,-,4,5,SrAAZTG23L6sBa,C00n9eksg,2763433752
neoito.com,Google Workspace,Google Workspace Business Starter,"February 25, 2021",Active,36 months Fixed Term Plan (Monthly Payment),"February 25, 2024",216,224,SCWoGVROG22VTy,C04bqzmeu,2533680929
neoitoplc.com,Google Workspace,Google Workspace Business Plus,"September 26, 2021",Active,Flexible Plan,-,2,300,SRDZQytT8jBcJG,C02jyi654,3163323836
networthsoft.com,Google Workspace,Google Workspace Business Starter,"June 25, 2021",Active,Flexible Plan,-,10,300,Sg0C1OeUFcWoUf,C02h6ofzb,2911763264
newziedairy.com,Google Workspace,Google Workspace Business Starter,"March 21, 2022",Active,Flexible Plan,-,6,10,S456YUvIfDrFJJ,C017a7e3b,3667744519
nexofootwear.com,-,-,-,-,-,-,0,0,SvoFJUDgfPcfoP,-,-
